,Date,Open,High,Low,Close,Adj Close,Volume
0,"Oct 18, 2024",97.01,97.54,96.05,97.28,97.28,"8,473,408"
1,"Oct 17, 2024",96.93,97.33,95.61,96.54,96.54,"9,535,800"
2,"Oct 16, 2024",93.73,96.79,93.63,96.75,96.75,"9,936,300"
3,"Oct 15, 2024",95.25,95.65,93.68,94.22,94.22,"6,535,800"
4,"Oct 14, 2024",94.18,95.19,93.80,94.97,94.97,"6,262,000"
5,"Oct 11, 2024",92.85,94.61,92.80,94.13,94.13,"8,089,100"
6,"Oct 10, 2024",93.72,93.88,92.69,92.99,92.99,"6,698,000"
7,"Oct 9, 2024",91.86,94.01,91.46,93.60,93.60,"8,654,500"
8,"Oct 8, 2024",92.52,93.74,91.69,92.51,92.51,"10,209,100"
9,"Oct 7, 2024",95.09,95.14,91.76,92.39,92.39,"11,043,600"
10,"Oct 4, 2024",94.30,95.34,93.89,95.15,95.15,"6,308,900"
11,"Oct 3, 2024",93.61,94.09,93.13,93.63,93.63,"6,180,300"
12,"Oct 2, 2024",93.59,94.58,93.59,94.15,94.15,"6,144,200"
13,"Oct 1, 2024",95.19,95.85,93.32,94.05,94.05,"10,099,200"
14,"Sep 30, 2024",96.85,97.57,95.44,96.19,96.19,"7,982,300"
15,"Sep 27, 2024",95.49,96.90,95.28,96.01,96.01,"10,155,400"
16,"Sep 26, 2024",94.46,95.79,94.18,95.20,95.20,"10,061,600"
17,"Sep 25, 2024",93.64,94.44,93.35,93.92,93.92,"8,408,200"
18,"Sep 24, 2024",93.34,93.79,92.46,93.69,93.69,"7,860,300"
19,"Sep 23, 2024",93.70,93.70,92.16,92.97,92.97,"7,338,700"
20,"Sep 20, 2024",93.20,94.01,92.82,93.75,93.75,"19,251,500"
21,"Sep 19, 2024",94.82,95.29,93.32,93.45,93.45,"10,912,400"
22,"Sep 18, 2024",93.52,94.07,92.69,93.58,93.58,"10,289,800"
23,"Sep 17, 2024",92.37,93.25,92.17,92.86,92.86,"8,193,100"
24,"Sep 16, 2024",91.10,92.37,90.95,91.85,91.85,"9,028,600"
25,"Sep 13, 2024",89.45,90.72,89.39,90.55,90.55,"7,084,200"
26,"Sep 12, 2024",88.22,89.33,88.18,89.30,89.30,"7,181,700"
27,"Sep 11, 2024",88.05,88.43,86.59,88.32,88.32,"10,779,000"
28,"Sep 10, 2024",88.33,88.89,87.98,88.40,88.40,"6,858,300"
29,"Sep 9, 2024",88.22,88.89,87.81,88.34,88.34,"8,750,200"
30,"Sep 6, 2024",88.45,89.09,87.72,87.94,87.94,"7,791,500"
31,"Sep 5, 2024",89.67,89.67,88.34,88.65,88.65,"6,234,100"
32,"Sep 4, 2024",88.95,90.02,88.82,89.25,89.25,"6,317,200"
33,"Sep 3, 2024",89.61,90.49,88.54,89.13,89.13,"8,465,500"
34,"Aug 30, 2024",89.98,90.45,89.40,90.38,90.38,"8,403,600"
35,"Aug 29, 2024",90.45,90.70,89.63,89.81,89.81,"6,181,800"
36,"Aug 28, 2024",90.33,90.62,88.76,89.49,89.49,"8,569,700"
37,"Aug 27, 2024",91.43,91.72,90.75,90.90,90.90,"7,237,400"
38,"Aug 26, 2024",90.92,91.80,90.92,91.78,91.78,"8,043,800"
39,"Aug 23, 2024",90.15,90.75,89.68,90.56,90.56,"7,369,200"
40,"Aug 22, 2024",90.99,91.38,89.70,89.92,89.92,"7,613,000"
41,"Aug 21, 2024",90.22,90.78,89.43,90.72,90.72,"7,637,600"
42,"Aug 20, 2024",90.39,90.67,89.31,89.74,89.74,"8,863,400"
43,"Aug 19, 2024",89.41,90.95,89.41,90.82,90.82,"9,723,600"
44,"Aug 16, 2024",88.96,89.67,88.34,89.30,89.30,"10,277,700"
45,"Aug 15, 2024",87.25,88.93,87.21,88.79,88.79,"12,401,000"
46,"Aug 14, 2024",86.01,86.54,85.56,86.30,86.30,"9,475,100"
47,"Aug 13, 2024",86.46,86.46,85.31,85.60,85.60,"14,615,200"
48,"Aug 12, 2024",85.86,86.38,85.48,85.95,85.95,"11,754,600"
49,"Aug 9, 2024",86.13,86.25,84.71,86.21,86.21,"16,008,400"
50,"Aug 8, 2024",85.15,86.33,83.91,85.96,85.96,"21,890,500"
51,"Aug 7, 2024",88.00,89.24,85.75,85.96,85.96,"30,581,900"
