,New Rank,Title,Gross Income,Max Theaters,Opening Earnings,Opening Num Theaters,Release Dates,Studio,Brand
0,1,Star Wars: Episode VII - The Force Awakens,"$936,662,225","4,134","$247,966,675","4,134","Dec 18, 2015",Walt Disney Studios Motion Pictures,Lucasfilm
1,2,Avengers: Endgame,"$858,373,000","4,662","$357,115,007","4,662","Apr 26, 2019",Walt Disney Studios Motion Pictures,Marvel Comics
2,3,Spider-Man: No Way Home,"$804,793,477","4,336","$260,138,569","4,336","Dec 17, 2021",Sony Pictures Releasing,Marvel Comics
3,4,Black Panther,"$700,059,566","4,084","$202,003,951","4,084","Feb 16, 2018",Walt Disney Studios Motion Pictures,Marvel Comics
4,5,Avengers: Infinity War,"$678,815,482","4,474","$257,698,183","4,474","Apr 27, 2018",Walt Disney Studios Motion Pictures,Marvel Comics
5,6,The Avengers,"$623,357,910","4,349","$207,438,708","4,349","May 4, 2012",Walt Disney Studios Motion Pictures,Marvel Comics
6,7,Star Wars: Episode VIII - The Last Jedi,"$620,181,382","4,232","$220,009,584","4,232","Dec 15, 2017",Walt Disney Studios Motion Pictures,Lucasfilm
7,8,Incredibles 2,"$608,581,744","4,410","$182,687,905","4,410","Jun 15, 2018",Walt Disney Studios Motion Pictures,Pixar
8,9,Rogue One: A Star Wars Story,"$532,177,324","4,157","$155,081,681","4,157","Dec 16, 2016",Walt Disney Studios Motion Pictures,Lucasfilm
9,10,Star Wars: Episode IX - The Rise of Skywalker,"$515,202,542","4,406","$177,383,864","4,406","Dec 20, 2019",Walt Disney Studios Motion Pictures,Lucasfilm
10,11,Finding Dory,"$486,295,561","4,305","$135,060,273","4,305","Jun 17, 2016",Walt Disney Studios Motion Pictures,Pixar
11,12,Frozen II,"$477,373,578","4,440","$130,263,358","4,440","Nov 22, 2019",Walt Disney Studios Motion Pictures,Walt Disney Animation Studios
12,13,Avengers: Age of Ultron,"$459,005,868","4,276","$191,271,109","4,276","May 1, 2015",Walt Disney Studios Motion Pictures,Marvel Comics
13,14,Black Panther: Wakanda Forever,"$453,829,060","4,396","$181,339,761","4,396","Nov 11, 2022",Walt Disney Studios Motion Pictures,Marvel Comics
14,15,Toy Story 4,"$434,038,008","4,575","$120,908,065","4,575","Jun 21, 2019",Walt Disney Studios Motion Pictures,Pixar
15,16,Star Wars: Episode I - The Phantom Menace,"$431,088,295","3,126","$64,820,970","3,126","May 19, 1999",Twentieth Century Fox,Lucasfilm
16,17,Captain Marvel,"$426,829,839","4,310","$153,433,423","4,310","Mar 8, 2019",Walt Disney Studios Motion Pictures,Marvel Comics
17,18,Toy Story 3,"$415,004,880","4,028","$110,307,189","4,028","Jun 18, 2010",Walt Disney Studios Motion Pictures,Pixar
