,Rank,Title,Gross Income,Max Theaters,Opening Earnings,Opening Num Theaters,Release Dates,Studio
0,1,Avengers: Endgame,"$858,373,000","4,662","$357,115,007","4,662","Apr 26, 2019",Walt Disney Studios Motion Pictures
1,2,Spider-Man: No Way Home,"$804,793,477","4,336","$260,138,569","4,336","Dec 17, 2021",Sony Pictures Releasing
2,3,Black Panther,"$700,059,566","4,084","$202,003,951","4,084","Feb 16, 2018",Walt Disney Studios Motion Pictures
3,4,Avengers: Infinity War,"$678,815,482","4,474","$257,698,183","4,474","Apr 27, 2018",Walt Disney Studios Motion Pictures
4,5,The Avengers,"$623,357,910","4,349","$207,438,708","4,349","May 4, 2012",Walt Disney Studios Motion Pictures
5,6,Avengers: Age of Ultron,"$459,005,868","4,276","$191,271,109","4,276","May 1, 2015",Walt Disney Studios Motion Pictures
6,7,Black Panther: Wakanda Forever,"$453,829,060","4,396","$181,339,761","4,396","Nov 11, 2022",Walt Disney Studios Motion Pictures
7,8,Captain Marvel,"$426,829,839","4,310","$153,433,423","4,310","Mar 8, 2019",Walt Disney Studios Motion Pictures
8,9,Doctor Strange in the Multiverse of Madness,"$411,331,607","4,534","$187,420,998","4,534","May 6, 2022",Walt Disney Studios Motion Pictures
9,10,Iron Man 3,"$409,013,994","4,253","$174,144,585","4,253","May 3, 2013",Walt Disney Studios Motion Pictures
10,11,Captain America: Civil War,"$408,084,349","4,226","$179,139,142","4,226","May 6, 2016",Walt Disney Studios Motion Pictures
11,12,Spider-Man,"$403,706,375","3,876","$114,844,116","3,876","May 3, 2002",Sony Pictures Releasing
12,13,Spider-Man: Far from Home,"$390,532,085","4,634","$92,579,212","4,634","Jul 2, 2019",Sony Pictures Releasing
13,14,Guardians of the Galaxy Vol. 2,"$389,813,101","4,347","$146,510,104","4,347","May 5, 2017",Walt Disney Studios Motion Pictures
14,15,Spider-Man 2,"$373,585,825","4,166","$88,156,227","4,166","Jun 30, 2004",Sony Pictures Releasing
15,16,Deadpool,"$363,070,709","3,856","$132,434,639","3,856","Feb 12, 2016",Twentieth Century Fox
16,17,Thor: Love and Thunder,"$343,256,830","4,375","$144,165,107","4,375","Jul 8, 2022",Walt Disney Studios Motion Pictures
17,18,Spider-Man 3,"$336,530,303","4,324","$151,116,516","4,324","May 4, 2007",Sony Pictures Releasing
18,19,Spider-Man: Homecoming,"$334,201,140","4,348","$117,027,503","4,348","Jul 7, 2017",Sony Pictures Releasing
19,20,Guardians of the Galaxy,"$333,176,600","4,088","$94,320,883","4,088","Aug 1, 2014",Walt Disney Studios Motion Pictures
20,21,Iron Man,"$318,604,126","4,154","$98,618,668","4,154","May 2, 2008",Paramount Pictures
21,22,Deadpool 2,"$318,491,426","4,349","$125,507,153","4,349","May 18, 2018",Twentieth Century Fox
22,23,Thor: Ragnarok,"$315,058,289","4,080","$122,744,989","4,080","Nov 3, 2017",Walt Disney Studios Motion Pictures
23,24,Iron Man 2,"$312,433,331","4,390","$128,122,480","4,390","May 7, 2010",Paramount Pictures
24,25,The Amazing Spider-Man,"$262,030,663","4,318","$62,004,688","4,318","Jul 3, 2012",Sony Pictures Releasing
25,26,Captain America: The Winter Soldier,"$259,766,572","3,938","$95,023,721","3,938","Apr 4, 2014",Walt Disney Studios Motion Pictures
26,27,X-Men: The Last Stand,"$234,362,462","3,714","$102,750,665","3,714","May 26, 2006",Twentieth Century Fox
27,28,X-Men: Days of Future Past,"$233,921,534","4,001","$90,823,660","4,001","May 23, 2014",Twentieth Century Fox
28,29,Doctor Strange,"$232,641,920","3,882","$85,058,311","3,882","Nov 4, 2016",Walt Disney Studios Motion Pictures
29,30,Logan,"$226,277,068","4,071","$88,411,916","4,071","Mar 3, 2017",Twentieth Century Fox
30,31,Shang-Chi and the Legend of the Ten Rings,"$224,543,292","4,300","$75,388,688","4,300","Sep 3, 2021",Walt Disney Studios Motion Pictures
31,32,Big Hero 6,"$222,527,828","3,773","$56,215,889","3,773","Nov 7, 2014",Walt Disney Studios Motion Pictures
32,33,Ant-Man and the Wasp,"$216,648,740","4,206","$75,812,205","4,206","Jul 6, 2018",Walt Disney Studios Motion Pictures
33,34,X2: X-Men United,"$214,949,694","3,749","$85,558,731","3,749","May 2, 2003",Twentieth Century Fox
34,35,Venom: Let There Be Carnage,"$213,550,366","4,225","$90,033,210","4,225","Oct 1, 2021",Sony Pictures Releasing
35,36,Venom,"$213,515,506","4,250","$80,255,756","4,250","Oct 5, 2018",Sony Pictures Releasing
36,37,Thor: The Dark World,"$206,362,140","3,841","$85,737,841","3,841","Nov 8, 2013",Walt Disney Studios Motion Pictures
37,38,The Amazing Spider-Man 2,"$202,853,933","4,324","$91,608,337","4,324","May 2, 2014",Sony Pictures Releasing
38,39,Spider-Man: Into the Spider-Verse,"$190,241,310","3,813","$35,363,376","3,813","Dec 14, 2018",Sony Pictures Releasing
39,40,Black Widow,"$183,651,655","4,275","$80,366,312","4,275","Jul 9, 2021",Walt Disney Studios Motion Pictures
40,41,Thor,"$181,030,624","3,963","$65,723,338","3,963","May 6, 2011",Paramount Pictures
41,42,Ant-Man,"$180,202,163","3,868","$57,225,526","3,868","Jul 17, 2015",Walt Disney Studios Motion Pictures
42,43,X-Men Origins: Wolverine,"$179,883,157","4,102","$85,058,003","4,102","May 1, 2009",Twentieth Century Fox
43,44,Captain America: The First Avenger,"$176,654,505","3,715","$65,058,524","3,715","Jul 22, 2011",Paramount Pictures
44,45,Eternals,"$164,870,234","4,090","$71,297,219","4,090","Nov 5, 2021",Walt Disney Studios Motion Pictures
