,New Rank,Title,Gross Income,Max Theaters,Opening Earnings,Opening Num Theaters,Release Dates,Studio
0,1,Star Wars: Episode VII - The Force Awakens,"$936,662,225","4,134","$247,966,675","4,134","Dec 18, 2015",Walt Disney Studios Motion Pictures
1,2,Avengers: Endgame,"$858,373,000","4,662","$357,115,007","4,662","Apr 26, 2019",Walt Disney Studios Motion Pictures
2,3,Spider-Man: No Way Home,"$804,793,477","4,336","$260,138,569","4,336","Dec 17, 2021",Sony Pictures Releasing
3,4,Black Panther,"$700,059,566","4,084","$202,003,951","4,084","Feb 16, 2018",Walt Disney Studios Motion Pictures
4,5,Avengers: Infinity War,"$678,815,482","4,474","$257,698,183","4,474","Apr 27, 2018",Walt Disney Studios Motion Pictures
5,6,The Avengers,"$623,357,910","4,349","$207,438,708","4,349","May 4, 2012",Walt Disney Studios Motion Pictures
6,7,Star Wars: Episode VIII - The Last Jedi,"$620,181,382","4,232","$220,009,584","4,232","Dec 15, 2017",Walt Disney Studios Motion Pictures
7,8,Incredibles 2,"$608,581,744","4,410","$182,687,905","4,410","Jun 15, 2018",Walt Disney Studios Motion Pictures
8,9,Rogue One: A Star Wars Story,"$532,177,324","4,157","$155,081,681","4,157","Dec 16, 2016",Walt Disney Studios Motion Pictures
9,10,Star Wars: Episode IX - The Rise of Skywalker,"$515,202,542","4,406","$177,383,864","4,406","Dec 20, 2019",Walt Disney Studios Motion Pictures
10,11,Finding Dory,"$486,295,561","4,305","$135,060,273","4,305","Jun 17, 2016",Walt Disney Studios Motion Pictures
11,12,Frozen II,"$477,373,578","4,440","$130,263,358","4,440","Nov 22, 2019",Walt Disney Studios Motion Pictures
12,13,Avengers: Age of Ultron,"$459,005,868","4,276","$191,271,109","4,276","May 1, 2015",Walt Disney Studios Motion Pictures
13,14,Black Panther: Wakanda Forever,"$453,829,060","4,396","$181,339,761","4,396","Nov 11, 2022",Walt Disney Studios Motion Pictures
14,15,Toy Story 4,"$434,038,008","4,575","$120,908,065","4,575","Jun 21, 2019",Walt Disney Studios Motion Pictures
15,16,Star Wars: Episode I - The Phantom Menace,"$431,088,295","3,126","$64,820,970","3,126","May 19, 1999",Twentieth Century Fox
16,17,Captain Marvel,"$426,829,839","4,310","$153,433,423","4,310","Mar 8, 2019",Walt Disney Studios Motion Pictures
17,18,Toy Story 3,"$415,004,880","4,028","$110,307,189","4,028","Jun 18, 2010",Walt Disney Studios Motion Pictures
18,19,Doctor Strange in the Multiverse of Madness,"$411,331,607","4,534","$187,420,998","4,534","May 6, 2022",Walt Disney Studios Motion Pictures
19,20,Iron Man 3,"$409,013,994","4,253","$174,144,585","4,253","May 3, 2013",Walt Disney Studios Motion Pictures
20,21,Captain America: Civil War,"$408,084,349","4,226","$179,139,142","4,226","May 6, 2016",Walt Disney Studios Motion Pictures
21,22,Spider-Man,"$403,706,375","3,876","$114,844,116","3,876","May 3, 2002",Sony Pictures Releasing
22,23,Frozen,"$400,738,009","3,742","$243,390","3,742","Nov 22, 2013",Walt Disney Studios Motion Pictures
23,24,Spider-Man: Far from Home,"$390,532,085","4,634","$92,579,212","4,634","Jul 2, 2019",Sony Pictures Releasing
24,25,Guardians of the Galaxy Vol. 2,"$389,813,101","4,347","$146,510,104","4,347","May 5, 2017",Walt Disney Studios Motion Pictures
25,26,Star Wars: Episode III - Revenge of the Sith,"$380,270,577","3,663","$108,435,841","3,663","May 19, 2005",Twentieth Century Fox
26,27,Spider-Man 2,"$373,585,825","4,166","$88,156,227","4,166","Jun 30, 2004",Sony Pictures Releasing
27,28,Deadpool,"$363,070,709","3,856","$132,434,639","3,856","Feb 12, 2016",Twentieth Century Fox
28,29,Inside Out,"$356,461,711","4,158","$90,440,272","4,158","Jun 19, 2015",Walt Disney Studios Motion Pictures
29,30,Thor: Love and Thunder,"$343,256,830","4,375","$144,165,107","4,375","Jul 8, 2022",Walt Disney Studios Motion Pictures
30,31,Zootopia,"$341,268,248","3,959","$75,063,401","3,959","Mar 4, 2016",Walt Disney Studios Motion Pictures
31,32,Finding Nemo,"$339,714,978","3,425","$70,251,710","3,425","May 30, 2003",Walt Disney Studios Motion Pictures
32,33,Spider-Man 3,"$336,530,303","4,324","$151,116,516","4,324","May 4, 2007",Sony Pictures Releasing
33,34,Spider-Man: Homecoming,"$334,201,140","4,348","$117,027,503","4,348","Jul 7, 2017",Sony Pictures Releasing
34,35,Guardians of the Galaxy,"$333,176,600","4,088","$94,320,883","4,088","Aug 1, 2014",Walt Disney Studios Motion Pictures
35,36,Iron Man,"$318,604,126","4,154","$98,618,668","4,154","May 2, 2008",Paramount Pictures
36,37,Deadpool 2,"$318,491,426","4,349","$125,507,153","4,349","May 18, 2018",Twentieth Century Fox
37,38,Indiana Jones and the Kingdom of the Crystal Skull,"$317,101,119","4,264","$100,137,835","4,264","May 22, 2008",Paramount Pictures
38,39,Thor: Ragnarok,"$315,058,289","4,080","$122,744,989","4,080","Nov 3, 2017",Walt Disney Studios Motion Pictures
39,40,Iron Man 2,"$312,433,331","4,390","$128,122,480","4,390","May 7, 2010",Paramount Pictures
40,41,Star Wars: Episode IV - A New Hope,"$307,263,857","1,750","$1,554,475","1,750","May 25, 1977",Twentieth Century Fox
41,42,Star Wars: Episode II - Attack of the Clones,"$302,191,252","3,161","$80,027,814","3,161","May 16, 2002",Twentieth Century Fox
42,43,Up,"$293,004,164","3,886","$68,108,790","3,886","May 29, 2009",Walt Disney Studios Motion Pictures
43,44,Monsters University,"$268,492,764","4,004","$82,429,469","4,004","Jun 21, 2013",Walt Disney Studios Motion Pictures
44,45,The Amazing Spider-Man,"$262,030,663","4,318","$62,004,688","4,318","Jul 3, 2012",Sony Pictures Releasing
45,46,The Incredibles,"$261,441,092","3,933","$70,467,623","3,933","Nov 5, 2004",Walt Disney Studios Motion Pictures
46,47,Captain America: The Winter Soldier,"$259,766,572","3,938","$95,023,721","3,938","Apr 4, 2014",Walt Disney Studios Motion Pictures
47,48,"Monsters, Inc.","$255,873,250","3,649","$62,577,067","3,649","Nov 2, 2001",Walt Disney Studios Motion Pictures
48,49,Star Wars: Episode VI - Return of the Jedi,"$252,583,617","1,764","$23,019,618","1,764","May 25, 1983",Twentieth Century Fox
49,50,Moana,"$248,757,044","3,875","$56,631,401","3,875","Nov 23, 2016",Walt Disney Studios Motion Pictures
50,51,Toy Story 2,"$245,852,179","3,257","$300,163","3,257","Nov 19, 1999",Walt Disney Studios Motion Pictures
51,52,Cars,"$244,082,982","3,988","$60,119,509","3,988","Jun 9, 2006",Walt Disney Studios Motion Pictures
52,53,Brave,"$237,283,207","4,164","$66,323,594","4,164","Jun 22, 2012",Walt Disney Studios Motion Pictures
53,54,X-Men: The Last Stand,"$234,362,462","3,714","$102,750,665","3,714","May 26, 2006",Twentieth Century Fox
54,55,X-Men: Days of Future Past,"$233,921,534","4,001","$90,823,660","4,001","May 23, 2014",Twentieth Century Fox
